="DML LASSO Linear Model Estimates"

="",="(1)",="(2)",="(3)"
="",="DML_firm",="DML_firm_fyear",="DML_firm_trend"

="RDAT",="0.567***",="0.565***",="0.588***"
="",="(0.162)",="(0.156)",="(0.154)"

="lnME",="0.261***",="0.206***",="0.253***"
="",="(0.027)",="(0.025)",="(0.028)"

="RD_missing",="-0.616***",="-0.606***",="-0.578***"
="",="(0.070)",="(0.071)",="(0.069)"

="lnAge",="0.232***",="0.233***",="0.253***"
="",="(0.048)",="(0.054)",="(0.049)"

="lnK2L",="-0.151***",="-0.070",="-0.161***"
="",="(0.046)",="(0.045)",="(0.045)"

="TobinQ",="-0.004",="0.007",="0.008"
="",="(0.024)",="(0.025)",="(0.026)"

="ROA",="0.140",="0.283",="0.253"
="",="(0.225)",="(0.200)",="(0.230)"

="Leverage",="-0.241",="-0.119",="-0.175"
="",="(0.197)",="(0.188)",="(0.191)"

="CASHAT",="-0.205",="-0.074",="-0.179"
="",="(0.203)",="(0.204)",="(0.209)"

="KZidx",="0.003",="0.003",="0.004"
="",="(0.003)",="(0.003)",="(0.004)"

="InstOwn",="-0.147",="0.258",="-0.154"
="",="(0.168)",="(0.184)",="(0.158)"

="oms_HHidx",="-0.971",="-0.896",="-1.558**"
="",="(0.644)",="(0.701)",="(0.626)"

="oms_HHidx_square",="0.362",="0.304",="0.912*"
="",="(0.509)",="(0.555)",="(0.491)"

="FirmFE",="yes",="yes",="yes"
="YearFE",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="yes"
="N",="2241.000",="2241.000",="2241.000"
="N_clust",="200.000",="200.000",="200.000"
="k_controls",="200.000",="226.000",="1581.000"
="k_controls_sel",="64.000",="77.000",="141.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
