="DML LASSO Poisson Model Estimates"

="",="(1)",="(2)",="(3)"
="",="DML_firm",="DML_firm_fyear",="DML_firm_trend"

="RDAT",="1.699***",="1.648***",="1.397***"
="",="(0.217)",="(0.295)",="(0.268)"

="FirmFE",="yes",="yes",="yes"
="YearFE",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="yes"
="N",="2241.000",="2241.000",="2241.000"
="N_clust",="200.000",="200.000",="200.000"
="k_controls",="212.000",="238.000",="1593.000"
="k_controls_sel",="12.000",="38.000",="147.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
