="Fixed Effects Linear Model Estimates"

="",="(1)",="(2)",="(3)",="(4)"
="",="OLS",="OLSFE_firm",="OLSFE_firm_fyear",="OLSFE_firm_trend"

="RDAT",="0.780***",="-0.136",="-0.143",="-0.083"
="",="(0.286)",="(0.122)",="(0.128)",="(0.191)"

="lnME",="0.408***",="0.164***",="0.189***",="0.215***"
="",="(0.066)",="(0.046)",="(0.048)",="(0.068)"

="RD_missing",="-0.700***",="-0.047",="-0.033",="-0.115"
="",="(0.137)",="(0.103)",="(0.108)",="(0.152)"

="lnAge",="0.300***",="0.026",="0.159",="0.067"
="",="(0.099)",="(0.075)",="(0.125)",="(0.168)"

="lnK2L",="0.002",="-0.030",="0.033",="-0.007"
="",="(0.081)",="(0.060)",="(0.057)",="(0.079)"

="TobinQ",="-0.025",="-0.002",="-0.002",="-0.015"
="",="(0.049)",="(0.031)",="(0.033)",="(0.028)"

="ROA",="0.430",="-0.133",="-0.236",="-0.254"
="",="(0.427)",="(0.207)",="(0.208)",="(0.287)"

="Leverage",="-0.534",="-0.124",="-0.066",="-0.355"
="",="(0.365)",="(0.211)",="(0.202)",="(0.381)"

="CASHAT",="-0.567*",="-0.178",="-0.101",="-0.147"
="",="(0.329)",="(0.234)",="(0.230)",="(0.335)"

="KZidx",="0.000",="0.002",="0.002",="0.001"
="",="(0.005)",="(0.002)",="(0.003)",="(0.003)"

="InstOwn",="-1.056**",="-0.187",="0.011",="-0.248"
="",="(0.408)",="(0.162)",="(0.183)",="(0.277)"

="oms_HHidx",="-0.593",="-1.317**",="-1.363**",="0.000"
="",="(1.170)",="(0.639)",="(0.614)",="(.)"

="oms_HHidx_square",="0.197",="1.146**",="1.086**",="0.000"
="",="(1.092)",="(0.445)",="(0.453)",="(.)"

="FirmFE",="no",="yes",="yes",="yes"
="YearFE",="no",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="no",="yes"
="N",="2241.000",="2232.000",="2232.000",="1246.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
