="Fixed Effects Poisson Model Estimates"

="",="(1)",="(2)",="(3)",="(4)"
="",="Poisson",="Poisson_firm",="Poisson_firm_fyear",="Poisson_firm_trend"

="RDAT",="1.685***",="-0.132",="0.035",="-0.042"
="",="(0.392)",="(0.579)",="(0.543)",="(0.361)"

="lnME",="0.753***",="0.350**",="0.378**",="0.411***"
="",="(0.101)",="(0.151)",="(0.157)",="(0.075)"

="RD_missing",="-1.091***",="-0.110",="-0.097",="-0.356"
="",="(0.421)",="(0.246)",="(0.187)",="(0.289)"

="lnAge",="0.200",="0.137",="0.408",="0.059"
="",="(0.248)",="(0.275)",="(0.470)",="(0.291)"

="lnK2L",="0.080",="0.009",="0.131",="-0.201"
="",="(0.121)",="(0.241)",="(0.271)",="(0.203)"

="TobinQ",="-0.100",="0.019",="0.035",="-0.001"
="",="(0.075)",="(0.034)",="(0.035)",="(0.019)"

="ROA",="1.095",="0.347",="0.285",="-0.142"
="",="(0.864)",="(0.830)",="(0.691)",="(0.544)"

="Leverage",="-1.818**",="0.461",="0.662",="0.785"
="",="(0.854)",="(0.535)",="(0.521)",="(0.630)"

="CASHAT",="-1.234",="-0.258",="-0.302",="-0.588"
="",="(0.762)",="(0.524)",="(0.555)",="(0.581)"

="KZidx",="0.003",="0.000",="-0.004",="-0.001"
="",="(0.011)",="(0.009)",="(0.009)",="(0.005)"

="InstOwn",="-1.069*",="-0.499*",="-0.462",="0.535"
="",="(0.618)",="(0.293)",="(0.475)",="(0.387)"

="oms_HHidx",="-3.148**",="-3.894**",="-3.849**",="0.000"
="",="(1.595)",="(1.539)",="(1.774)",="(.)"

="oms_HHidx_square",="2.640**",="3.118*",="2.903",="0.000"
="",="(1.335)",="(1.698)",="(1.986)",="(.)"

="FirmFE",="no",="yes",="yes",="yes"
="YearFE",="no",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="no",="yes"
="N",="2241.000",="2232.000",="2232.000",="1246.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
