="Hausman-Taylor Estimates"

="",="(1)",="(2)",="(3)"
="",="HT_firm",="HT_firm_fyear",="HT_firm_trend"

="lnME",="0.210***",="0.266***",="0.261***"
="",="(0.054)",="(0.052)",="(0.065)"

="RD_missing",="0.045",="0.073",="-0.362"
="",="(0.149)",="(0.137)",="(0.234)"

="lnAge",="-0.113",="0.108",="0.292***"
="",="(0.110)",="(0.077)",="(0.095)"

="lnK2L",="-0.017",="0.094",="0.273**"
="",="(0.081)",="(0.086)",="(0.121)"

="TobinQ",="-0.032",="-0.039",="0.004"
="",="(0.032)",="(0.030)",="(0.036)"

="ROA",="0.558",="0.581",="-0.136"
="",="(0.421)",="(0.382)",="(0.449)"

="Leverage",="0.027",="0.126",="-0.413"
="",="(0.309)",="(0.285)",="(0.423)"

="CASHAT",="0.099",="0.266",="-0.515"
="",="(0.339)",="(0.311)",="(0.387)"

="KZidx",="0.000",="-0.001",="-0.003"
="",="(0.005)",="(0.005)",="(0.005)"

="InstOwn",="-0.185",="0.173",="-0.162"
="",="(0.225)",="(0.241)",="(0.383)"

="oms_HHidx",="-1.206",="-1.024",="0.000"
="",="(0.870)",="(0.806)",="(.)"

="oms_HHidx_square",="1.037",="0.691",="0.000"
="",="(0.754)",="(0.706)",="(.)"

="RDAT",="1.015***",="1.341***",="0.194"
="",="(0.236)",="(0.223)",="(0.262)"

="FirmFE",="yes",="yes",="yes"
="YearFE",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="yes"
="N",="2241.000",="2241.000",="1260.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
