="Post-regularization LASSO Linear Model Estimates"

="",="(1)",="(2)",="(3)"
="",="Po_firm",="Po_firm_fyear",="Po_firm_trend"

="RDAT",="0.773**",="0.728**",="0.747**"
="",="(0.316)",="(0.311)",="(0.299)"

="lnME",="0.274***",="0.226***",="0.278***"
="",="(0.047)",="(0.042)",="(0.047)"

="RD_missing",="-0.542***",="-0.541***",="-0.599***"
="",="(0.122)",="(0.121)",="(0.125)"

="lnAge",="0.231***",="0.224***",="0.207**"
="",="(0.082)",="(0.082)",="(0.081)"

="lnK2L",="-0.164**",="-0.115",="-0.171**"
="",="(0.076)",="(0.072)",="(0.076)"

="TobinQ",="-0.012",="0.001",="-0.016"
="",="(0.049)",="(0.049)",="(0.048)"

="ROA",="0.244",="0.269",="0.266"
="",="(0.382)",="(0.367)",="(0.374)"

="Leverage",="-0.225",="-0.130",="-0.142"
="",="(0.306)",="(0.309)",="(0.305)"

="CASHAT",="-0.142",="0.048",="-0.172"
="",="(0.318)",="(0.325)",="(0.324)"

="KZidx",="0.006",="0.006",="0.005"
="",="(0.005)",="(0.005)",="(0.005)"

="InstOwn",="-0.243",="0.261",="-0.190"
="",="(0.259)",="(0.297)",="(0.260)"

="oms_HHidx",="-1.106",="-1.061",="-1.649*"
="",="(0.913)",="(0.976)",="(0.852)"

="oms_HHidx_square",="0.501",="0.443",="0.957"
="",="(0.728)",="(0.776)",="(0.719)"

="FirmFE",="yes",="yes",="yes"
="YearFE",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="yes"
="N",="2241.000",="2241.000",="2241.000"
="N_clust",="200.000",="200.000",="200.000"
="k_controls",="200.000",="226.000",="1581.000"
="k_controls_sel",="42.000",="45.000",="81.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
