="Post-regularization LASSO Poisson Model Estimates"

="",="(1)",="(2)",="(3)"
="",="POLPR_firm",="POLPR_firm_fyear",="POLPR_firm_trend"

="npatent",="",="",=""
="RDAT",="1.713***",="1.891***",="1.333***"
="",="(0.488)",="(0.515)",="(0.337)"

="FirmFE",="yes",="yes",="yes"
="YearFE",="no",="yes",="yes"
="YearxIndustryFE",="no",="no",="yes"
="N",="2241.000",="2241.000",="2241.000"
="N_clust",="200.000",="200.000",="200.000"
="k_controls",="212.000",="238.000",="1593.000"
="k_controls_sel",="10.000",="37.000",="79.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
